mz,rt,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
784.6666,35.11525,4904599,2712778,23867547,2491603,4834894,9384963
786.6071,32.89566667,138393,1242554.934,3176984,5508962,662855.6,30585562
788.544,29.81998333,852469.7,23899411,214597.6255,12347557.93,9230216,4112815
788.622,34.2757,1905570.189,10002989,2786111,1375458,12153.39642,1242236.578
790.5607,31.01686667,12345754.66,411814.9,8255945.346,32484241,121376194,22728815.17
790.6329,35.53933333,38929.83723,28805835,31352046,29356441,1690548,1123790
792.5553,33.16166667,4520349,13100145,9182858,4736267,20588728.89,4196938
794.571,33.68533333,4029176,241456.9,14151640,81606.70089,23764220,2896508.895
794.5684,31.94783333,30971193,6572916,5294688.313,1137826,6738836,41451633
794.6048,33.99825,51718089,863065.8,2112288,23319911,11025238,5577721
794.607,32.84585,671060.2,26327057.31,4084785,131308029,29905268,1999642
796.5844,33.36926667,34349212,20041847.35,1035201,5060429,4885802.115,1568581
796.5775,33.6855,89746.25262,1736674.619,4682293,1288871,5677271.934,5359249
796.5879,34.64981667,1270531.227,1237501,18249042,8717230.647,2566216,69383.24677
802.6328,35.13946667,8169174,2430959,8697680,963652.6,5060321,183181598
802.6687,36.98581667,13071361,6942969,17356115,17946915,5186146,19232173
804.5526,31.10003333,244997.1,4503290.989,9066740,18810185,12182133,35813161
806.5683,31.6398,8721056,33187046,14595968.83,4581310,4602537,35335003
806.5708,30.49318333,3465615.257,30883255,2956164,30493111,522147.1,1210614
806.5708,30.9748,7256611,1603747,27825817,11305786,3606547,2511614
808.5843,32.89548333,28403604,20171784,10281027,2619418,100209.6489,35525687
808.5868,31.61531667,180735000,9078297,1818769,3773975,2844683.681,6928512
810.5999,34.284,11029567,5085897.961,15279296,333134.9662,774135.5,519865.7
810.602,32.66283333,1943155,31560863,2321625,11559349,3573017,403726.3632
810.6015,33.15345,18318881,26499801,207217693,2238593,10718401,4149508
810.6817,35.76396667,3909903,1896914,3099493,2742977.259,51330445,25455677
812.6178,33.85998333,14991719,5626272,2841475.485,34555127,1260671,2206500
812.6177,33.569,10462973,22658069,45049.24979,2274891,2983345.989,3162967.111
812.6987,36.7129,1507355,269737.6,13967243.62,7050256,22880689,5831113
814.5597,30.62616667,2848907,5173855.104,2908002,6038740,1204929,12274525
814.6335,34.69946667,44320957,14643988,59023.24116,2257136,29107217,30861725
816.6497,35.97005,10291666,104394321,362573.453,71723.69733,4189924,13818563
